street_name,total_complaints
"bellwood place",25
"mona street",25
"prince street",25
"manitou street",25
"flower street",25
"crombie street",25
"sullivan street",25
"mc call road",25
"scottsville road",25
"mayberry street",25
"upton place",25
"audubon street",25
"winans street",25
"wakefield street",25
"leander road",25
"beaufort street",25
"upper falls boulevard",25
"wolfert terrace",25
"van bergh avenue",25
"brookhaven terrace",25
"nester street",25
"winton road south",25
"lakeshire road",25
"austin street",24
"danforth street",24
"lapham street",24
"grover street",24
"amsterdam road",24
"flanders place",24
"kilmar street",24
"lawndale terrace",24
"kansas street",24
"croydon road",24
"ringle street",24
"malvern street",24
"stanfield terrace",24
"stonewood avenue",24
"langford road",24
"claybrook street",24
"grassmere park",24
"northaven terrace",24
"alberta street",24
"fairview heights",24
"oakman street",23
"bloomfield place",23
"ashland street",23
"rowley street",23
"latta road",23
"second street",23
"sander street",23
"whitney street",23
"bellevue drive",23
"garnet street",23
"gregory hill road",23
"handy street",23
"fien street",23
"taylor street",23
"wilcox street",23
"dix street",23
"teralta street",23
"floverton street",23
"alonzo street",22
"gerling place",22
"maplewood drive",22
"elmhurst street",22
"alpha street",22
"montrose street",22
"carthage street",22
"strohm street",22
"rutledge drive",22
"milan street",22
"perinton street",22
"judson street",22
"spiegel park",22
"renwood street",22
"iroquois street",22
"quamina drive",22
"dale street",22
"nicholson street",22
"donlon street",22
"dakota street",22
"laforce street",22
"thayer street",22
"san gabriel drive",22
"margaret street",22
"burley road",22
"marigold street",22
"east broad street",22
"westchester avenue",22
"mayfield street",22
"ackerman street",22
"devon road",22
"hincher street",22
"morrill street",21
"edmonton road",21
"colonial road",21
"heidelberg street",21
"hebard street",21
"maxson street",21
"frederick douglass street",21
"tracy street",21
"potomac street",21
"kestrel street",21
"brookscrest way",21
"vose street",21
"angle street",21
"cayuga street",21
"crittenden boulevard",21
"denver street",21
"north lemoyn avenue",21
"highland parkway",21
"delaware street",21
"farbridge street",21
"amherst street",21
"mcardle street",21
"argo park",21
"riverside street",20
"borchard street",20
"hubbell park",20
"chapin street",20
"blakeslee street",20
"darwin street",20
"willow street",20
"clarissa street",20
"delray road",20
"ferndale crescent",20
"sycamore street",20
"browncroft boulevard",20
"geddes street",20
"berwick road",20
"high street",20
"cleon street",20
"natalie street",20
"holworthy street",20
"backus street",20
"selden street",20
"wooden street",20
"aebersold street",20
"maxwell avenue",20
"burling road",20
"kappel place",20
"maltby street",20
"wyndham road",20
"redfern drive",20
"lansdale street",20
"woodstock road",19
"burkhard place",19
"river heights circle",19
"drexmore road",19
"doran street",19
"cynthia lane",19
"de jonge street",19
"valley street",19
